State_Code,State,reg_date_time_period,Total Registered,18_29,30_39,40_49,50_64,65_,Unknown,Number of Days Included
AK,Alaska,Post-Parkland,12022,11.5,14.23,11.92,20.29,12.23,29.83,76
AK,Alaska,Pre-Parkland,38169,11.41,12.78,11.26,18.32,9.15,37.08,76
AL,Alabama,Post-Parkland,30178,42.46,18.46,14.06,16.53,8.49,0.01,54
AL,Alabama,Pre-Parkland,29487,40.35,19.01,14.51,17.29,8.82,0.01,54
AZ,Arizona,Post-Parkland,25963,44.27,15.19,10.55,15.83,14.17,0,50
AZ,Arizona,Pre-Parkland,32395,36.11,15.2,11.28,18.8,18.61,0,50
CA,California,Post-Parkland,975820,33.04,20.05,13.96,18.82,14.1,0.03,106
CA,California,Pre-Parkland,596347,29.67,23.34,15.71,19.14,12.12,0.01,106
CO,Colorado,Post-Parkland,79062,37.47,25.29,13.06,15.41,8.77,0,107
CO,Colorado,Pre-Parkland,77380,35.13,26.07,13.79,15.97,9.04,0,107
CT,Connecticut,Post-Parkland,20280,42.91,21.42,12.49,15.08,8.08,0.03,55
CT,Connecticut,Pre-Parkland,17025,38.57,22.36,13.95,16.53,8.56,0.02,55
DC,"Washington, D.C.",Post-Parkland,5409,7.08,5.18,2.59,3.12,2.05,79.98,79
DC,"Washington, D.C.",Pre-Parkland,4716,10.07,9.99,3.84,4.33,1.95,69.83,79
DE,Delaware,Post-Parkland,7017,30.35,18.77,12.46,22.57,15.75,0.1,106
DE,Delaware,Pre-Parkland,6689,27.06,18.87,13.81,22.89,17.37,0,106
FL,Florida,Post-Parkland,114622,34.22,15.7,12.68,20.9,16.51,0,75
FL,Florida,Pre-Parkland,105941,26.23,16.09,13.21,24.02,20.45,0,75
GA,Georgia,Post-Parkland,111215,39.36,22.29,14.79,15.65,7.88,0.02,54
GA,Georgia,Pre-Parkland,100930,38.48,22.08,14.82,16.61,8,0.02,54
IA,Iowa,Post-Parkland,20141,56.22,16.14,8.46,11.59,7.59,0,92
IA,Iowa,Pre-Parkland,18744,56.52,15.89,9.56,11.65,6.38,0,92
IN,Indiana,Post-Parkland,29468,67.78,10.15,7.35,8.98,5.75,0,59
IN,Indiana,Pre-Parkland,17439,57.91,13.96,9.65,12,6.47,0,59
KS,Kansas,Post-Parkland,15635,43.97,18.87,12.77,15.36,8.58,0.45,93
KS,Kansas,Pre-Parkland,23040,40.49,20.16,13.35,16.35,9.57,0.09,93
LA,Louisiana,Post-Parkland,22389,47.49,17.61,12.23,15.18,7.49,0,106
LA,Louisiana,Pre-Parkland,19694,43.52,18.48,13.58,16.68,7.74,0,106
MD,Maryland,Post-Parkland,43527,38.32,14.05,8.76,9.32,5.63,23.92,106
MD,Maryland,Pre-Parkland,34160,35.63,17.66,11.02,11.18,5.83,18.68,106
ME,Maine,Post-Parkland,4749,48.12,10.61,9.03,16.91,15.12,0.21,104
ME,Maine,Pre-Parkland,4924,46.73,15.66,9.69,14.89,13.02,0.02,104
MN,Minnesota,Post-Parkland,70787,35.9,23.61,12.81,14.96,12.72,0,85
MN,Minnesota,Pre-Parkland,75909,31.22,25.37,13.81,16.43,13.17,0,85
MT,Montana,Post-Parkland,11687,40.63,18.35,12.18,17.28,11.53,0.01,111
MT,Montana,Pre-Parkland,8235,36.82,20.66,12.86,18.75,10.92,0,111
NC,North Carolina ,Post-Parkland,122886,44.18,17.28,12.16,16.55,9.84,0,114
NC,North Carolina ,Pre-Parkland,96512,38.67,18.37,13.29,18.22,11.45,0,114
NE,Nebraska,Post-Parkland,11509,57.16,16.18,8.58,10.7,7.39,0,75
NE,Nebraska,Pre-Parkland,9710,51.47,19.32,9.95,12.52,6.74,0,75
NJ,New Jersey,Post-Parkland,61670,41.04,20.97,13.83,15.68,8.47,0.01,86
NJ,New Jersey,Pre-Parkland,60001,39.82,22.03,13.95,15.95,8.24,0,86
NM,New Mexico,Post-Parkland,44213,30.15,17.81,13.26,20.39,18.38,0,86
NM,New Mexico,Pre-Parkland,35404,28.01,18.02,13.98,20.98,19.01,0,86
NV,Nevada,Post-Parkland,42170,38.95,17.24,12.38,18.31,13.06,0.05,103
NV,Nevada,Pre-Parkland,31619,32.33,19.39,14,20.31,13.96,0,103
NY,New York,Post-Parkland,123616,56.75,15.8,9.74,11.58,6.07,0.06,320
NY,New York,Pre-Parkland,351076,46.05,20.5,11.96,13.86,7.62,0.01,320
OH,Ohio,Post-Parkland,209599,41.57,19.43,12.76,15.95,10.29,0.01,114
