vf_source_state,reg_date_time_period,age_bucket,Count,
AK,Post-Parkland,18-29,1372,
AK,Post-Parkland,30-39,1719,
AK,Post-Parkland,40-49,1433,
AK,Post-Parkland,50-64,2438,
AK,Post-Parkland,65+,1474,
AK,Post-Parkland,Unknown,3586,
AK,Pre-Parkland,18-29,4285,
AK,Pre-Parkland,30-39,4896,
AK,Pre-Parkland,40-49,4286,
AK,Pre-Parkland,50-64,7023,
AK,Pre-Parkland,65+,3525,
AK,Pre-Parkland,Unknown,14154,
AL,Post-Parkland,18-29,12815,
AL,Post-Parkland,30-39,5571,
AL,Post-Parkland,40-49,4242,
AL,Post-Parkland,50-64,4987,
AL,Post-Parkland,65+,2561,
AL,Post-Parkland,Unknown,2,
AL,Pre-Parkland,18-29,11897,
AL,Pre-Parkland,30-39,5606,
AL,Pre-Parkland,40-49,4280,
AL,Pre-Parkland,50-64,5098,
AL,Pre-Parkland,65+,2602,
AL,Pre-Parkland,Unknown,4,
AZ,Post-Parkland,18-29,11493,
AZ,Post-Parkland,30-39,3943,
AZ,Post-Parkland,40-49,2738,
AZ,Post-Parkland,50-64,4111,
AZ,Post-Parkland,65+,3678,
AZ,Pre-Parkland,18-29,11699,
AZ,Pre-Parkland,30-39,4924,
AZ,Pre-Parkland,40-49,3653,
AZ,Pre-Parkland,50-64,6090,
AZ,Pre-Parkland,65+,6029,
CA,Post-Parkland,18-29,322456,
CA,Post-Parkland,30-39,195616,
CA,Post-Parkland,40-49,136255,
CA,Post-Parkland,50-64,183664,
CA,Post-Parkland,65+,137568,
CA,Post-Parkland,Unknown,261,
CA,Pre-Parkland,18-29,176937,
CA,Pre-Parkland,30-39,139196,
CA,Pre-Parkland,40-49,93699,
CA,Pre-Parkland,50-64,114146,
CA,Pre-Parkland,65+,72286,
CA,Pre-Parkland,Unknown,83,
CO,Post-Parkland,18-29,29622,
CO,Post-Parkland,30-39,19991,
CO,Post-Parkland,40-49,10327,
CO,Post-Parkland,50-64,12185,
CO,Post-Parkland,65+,6937,
CO,Pre-Parkland,18-29,27184,
CO,Pre-Parkland,30-39,20175,
CO,Pre-Parkland,40-49,10667,
CO,Pre-Parkland,50-64,12356,
CO,Pre-Parkland,65+,6998,
CT,Post-Parkland,18-29,8702,
CT,Post-Parkland,30-39,4343,
CT,Post-Parkland,40-49,2532,
CT,Post-Parkland,50-64,3059,
CT,Post-Parkland,65+,1638,
CT,Post-Parkland,Unknown,6,
CT,Pre-Parkland,18-29,6567,
CT,Pre-Parkland,30-39,3807,
CT,Pre-Parkland,40-49,2375,
CT,Pre-Parkland,50-64,2815,
CT,Pre-Parkland,65+,1457,
CT,Pre-Parkland,Unknown,4,
DC,Post-Parkland,18-29,368,
DC,Post-Parkland,30-39,284,
DC,Post-Parkland,40-49,151,
DC,Post-Parkland,50-64,169,
DC,Post-Parkland,65+,111,
DC,Post-Parkland,Unknown,4326,
DC,Pre-Parkland,18-29,462,
DC,Pre-Parkland,30-39,483,
DC,Pre-Parkland,40-49,180,
DC,Pre-Parkland,50-64,204,
DC,Pre-Parkland,65+,94,
DC,Pre-Parkland,Unknown,3293,
DE,Post-Parkland,18-29,2130,
DE,Post-Parkland,30-39,1317,
DE,Post-Parkland,40-49,874,
DE,Post-Parkland,50-64,1584,
DE,Post-Parkland,65+,1105,
DE,Post-Parkland,Unknown,7,
DE,Pre-Parkland,18-29,1810,
DE,Pre-Parkland,30-39,1262,
DE,Pre-Parkland,40-49,924,
DE,Pre-Parkland,50-64,1531,
DE,Pre-Parkland,65+,1162,
FL,Post-Parkland,18-29,39218,
FL,Post-Parkland,30-39,17991,
FL,Post-Parkland,40-49,14538,
FL,Post-Parkland,50-64,23953,
FL,Post-Parkland,65+,18919,
FL,Post-Parkland,Unknown,3,
FL,Pre-Parkland,18-29,27789,
FL,Pre-Parkland,30-39,17045,
FL,Pre-Parkland,40-49,13994,
FL,Pre-Parkland,50-64,25448,
FL,Pre-Parkland,65+,21664,
FL,Pre-Parkland,Unknown,1,
GA,Post-Parkland,18-29,43776,
GA,Post-Parkland,30-39,24794,
GA,Post-Parkland,40-49,16449,
GA,Post-Parkland,50-64,17407,
GA,Post-Parkland,65+,8766,
GA,Post-Parkland,Unknown,23,
GA,Pre-Parkland,18-29,38841,
GA,Pre-Parkland,30-39,22281,
GA,Pre-Parkland,40-49,14954,
GA,Pre-Parkland,50-64,16762,
GA,Pre-Parkland,65+,8070,
GA,Pre-Parkland,Unknown,22,
IA,Post-Parkland,18-29,11324,
IA,Post-Parkland,30-39,3251,
IA,Post-Parkland,40-49,1703,
IA,Post-Parkland,50-64,2334,
IA,Post-Parkland,65+,1529,
IA,Pre-Parkland,18-29,10594,
IA,Pre-Parkland,30-39,2979,
IA,Pre-Parkland,40-49,1792,
IA,Pre-Parkland,50-64,2183,
IA,Pre-Parkland,65+,1196,
IN,Post-Parkland,18-29,19974,
IN,Post-Parkland,30-39,2990,
IN,Post-Parkland,40-49,2165,
IN,Post-Parkland,50-64,2645,
IN,Post-Parkland,65+,1694,
IN,Pre-Parkland,18-29,10099,
IN,Pre-Parkland,30-39,2435,
IN,Pre-Parkland,40-49,1683,
IN,Pre-Parkland,50-64,2093,
IN,Pre-Parkland,65+,1129,
KS,Post-Parkland,18-29,6874,
KS,Post-Parkland,30-39,2951,
KS,Post-Parkland,40-49,1997,
KS,Post-Parkland,50-64,2401,
KS,Post-Parkland,65+,1341,
KS,Post-Parkland,Unknown,71,
KS,Pre-Parkland,18-29,9328,
KS,Pre-Parkland,30-39,4644,
KS,Pre-Parkland,40-49,3075,
KS,Pre-Parkland,50-64,3766,
KS,Pre-Parkland,65+,2206,
KS,Pre-Parkland,Unknown,21,
LA,Post-Parkland,18-29,10633,
LA,Post-Parkland,30-39,3943,
LA,Post-Parkland,40-49,2738,
LA,Post-Parkland,50-64,3399,
LA,Post-Parkland,65+,1676,
LA,Pre-Parkland,18-29,8570,
LA,Pre-Parkland,30-39,3640,
LA,Pre-Parkland,40-49,2675,
LA,Pre-Parkland,50-64,3285,
LA,Pre-Parkland,65+,1524,
MD,Post-Parkland,18-29,16680,
MD,Post-Parkland,30-39,6114,
MD,Post-Parkland,40-49,3815,
MD,Post-Parkland,50-64,4055,
MD,Post-Parkland,65+,2452,
MD,Post-Parkland,Unknown,10411,
MD,Pre-Parkland,18-29,12170,
MD,Pre-Parkland,30-39,6032,
MD,Pre-Parkland,40-49,3766,
MD,Pre-Parkland,50-64,3820,
MD,Pre-Parkland,65+,1991,
MD,Pre-Parkland,Unknown,6381,
ME,Post-Parkland,18-29,2285,
ME,Post-Parkland,30-39,504,
ME,Post-Parkland,40-49,429,
ME,Post-Parkland,50-64,803,
ME,Post-Parkland,65+,718,
ME,Post-Parkland,Unknown,10,
ME,Pre-Parkland,18-29,2301,
ME,Pre-Parkland,30-39,771,
ME,Pre-Parkland,40-49,477,
ME,Pre-Parkland,50-64,733,
ME,Pre-Parkland,65+,641,
ME,Pre-Parkland,Unknown,1,
MN,Post-Parkland,18-29,25414,
MN,Post-Parkland,30-39,16710,
MN,Post-Parkland,40-49,9070,
MN,Post-Parkland,50-64,10590,
MN,Post-Parkland,65+,9003,
MN,Pre-Parkland,18-29,23695,
MN,Pre-Parkland,30-39,19259,
MN,Pre-Parkland,40-49,10484,
MN,Pre-Parkland,50-64,12471,
MN,Pre-Parkland,65+,10000,
MT,Post-Parkland,18-29,4749,
