All households,Baby Boomers,Generation X,Greatest Gen,Millenials,Silent Gen
12.6%,12.0%,12.9%,8.8%,13.0%,13.2%
7.1,6.9,7.0,5.7,6.9,8.3
5.5,5.1,5.9,3.1,6.1,4.9
33.0,30.9,33.1,50.5,34.9,34.5
11.0,11.8,11.9,8.9,7.5,11.9
7.0,3.9,6.6,23.4,13.6,5.4
2.5,2.5,2.5,2.0,2.5,2.5
0.5,0.6,0.4,1.4,0.2,1.2
2.0,1.9,2.1,0.6,2.3,1.3
3.1,2.6,3.8,1.7,3.6,2.2
15.8,15.9,15.4,8.9,17.3,14.3
2.9,3.1,2.3,3.2,3.0,3.6
3.3,3.1,3.5,0.3,4.6,1.7
8.0,9.0,6.6,14.9,5.1,14.8
5.5,6.1,4.5,9.8,3.5,10.3
1.5,1.6,1.3,2.3,1.1,2.3
0.8,1.0,0.6,2.1,0.3,1.8
0.3,0.3,0.2,0.7,0.2,0.5
